CaseMasterID,PersonID,profile
98,11809,oneoff
99,10190,repeat
100,7805,oneoff
101,9692,oneoff
102,1036,oneoff
103,8051,oneoff
104,6590,oneoff
105,8075,oneoff
106,7018,oneoff
107,8099,oneoff
108,8567,repeat
109,8730,oneoff
110,897,oneoff
111,9488,oneoff
112,1952,repeat
113,2718,repeat
114,5001,oneoff
115,4973,oneoff
116,6480,oneoff
117,8772,oneoff
118,8889,oneoff
119,1101,repeat
120,7373,oneoff
121,5400,oneoff
122,8116,repeat
123,2110,oneoff
124,4629,repeat
125,65,oneoff
126,8195,oneoff
127,2626,oneoff
128,5592,oneoff
129,2074,oneoff
130,2756,oneoff
131,10728,repeat
132,9922,oneoff
133,5382,oneoff
134,4897,repeat
135,5751,oneoff
136,6889,oneoff
137,400,oneoff
138,6031,oneoff
139,3648,oneoff
140,8905,ring
140,3652,ring
140,8704,ring
140,11063,ring
141,10726,oneoff
142,6330,oneoff
143,3172,oneoff
144,6426,oneoff
145,1222,repeat
146,8589,oneoff
147,3177,oneoff
148,7380,oneoff
149,2509,oneoff
150,9208,oneoff
151,2794,oneoff
152,8870,repeat
153,11233,oneoff
154,8345,oneoff
155,947,repeat
156,10001,oneoff
157,5175,oneoff
158,11268,repeat
159,8301,oneoff
160,11147,oneoff
161,3931,oneoff
162,1048,oneoff
163,7555,oneoff
164,512,oneoff
165,7858,repeat
166,7065,oneoff
167,9274,oneoff
168,7096,oneoff
169,4593,oneoff
170,210,oneoff
171,5256,oneoff
172,6118,oneoff
173,7900,oneoff
174,7196,oneoff
175,1517,oneoff
176,8040,oneoff
177,882,oneoff
178,2854,oneoff
179,7578,oneoff
180,8962,oneoff
181,5238,oneoff
182,6161,oneoff
183,1799,oneoff
184,7749,oneoff
185,6524,oneoff
186,7047,oneoff
187,7256,repeat
188,6008,repeat
189,1717,oneoff
190,3320,oneoff
191,4743,oneoff
192,1080,oneoff
193,6820,oneoff
194,10154,oneoff
195,11781,oneoff
196,3232,oneoff
197,6054,oneoff
198,11081,oneoff
199,9847,repeat
200,4223,repeat
201,11187,oneoff
202,8167,repeat
203,10028,oneoff
204,11525,oneoff
205,2754,oneoff
206,3715,oneoff
207,11941,oneoff
208,11918,oneoff
209,5579,oneoff
210,1702,oneoff
211,9958,oneoff
212,10479,oneoff
213,5725,oneoff
214,11769,oneoff
215,10466,repeat
216,10685,oneoff
217,7562,oneoff
218,1332,oneoff
219,6929,oneoff
220,11132,oneoff
221,6001,oneoff
222,9699,oneoff
223,4195,repeat
224,7701,oneoff
225,9111,oneoff
226,9641,repeat
227,5707,oneoff
228,5661,oneoff
229,4517,oneoff
230,3837,oneoff
231,679,oneoff
232,2045,oneoff
233,5628,repeat
234,8183,oneoff
235,1528,oneoff
236,3383,oneoff
237,3852,oneoff
238,5355,oneoff
239,1896,oneoff
240,6737,oneoff
241,1317,oneoff
242,3669,oneoff
243,7729,oneoff
244,7445,oneoff
245,1673,oneoff
246,3785,oneoff
247,11463,oneoff
248,11618,oneoff
249,715,oneoff
250,10604,oneoff
251,947,repeat
252,4847,oneoff
253,872,oneoff
254,10659,repeat
255,9641,repeat
256,5412,repeat
257,8355,oneoff
258,5992,oneoff
259,11815,oneoff
260,6680,oneoff
261,5373,oneoff
262,5294,oneoff
263,1747,oneoff
264,11237,oneoff
265,5926,oneoff
266,10165,oneoff
267,5667,oneoff
268,5046,oneoff
269,3595,oneoff
270,206,oneoff
271,11722,oneoff
272,7471,ring
272,377,ring
273,4319,oneoff
274,9168,oneoff
275,4493,oneoff
276,2381,oneoff
277,8193,oneoff
278,3000,oneoff
279,7958,oneoff
280,201,oneoff
281,7287,oneoff
282,1975,oneoff
283,6435,oneoff
284,8215,repeat
285,9008,oneoff
286,11739,oneoff
287,9562,oneoff
288,4384,oneoff
289,2568,oneoff
290,10228,oneoff
291,675,oneoff
292,2876,oneoff
293,7260,oneoff
294,1196,repeat
295,6698,oneoff
296,9790,oneoff
297,2032,oneoff
298,2447,ring
298,8991,ring
299,8534,oneoff
300,11686,oneoff
301,2979,oneoff
302,4897,repeat
303,1775,oneoff
304,1886,oneoff
305,3592,repeat
306,8885,oneoff
307,3047,oneoff
308,2005,oneoff
309,5894,oneoff
310,6846,oneoff
311,2439,oneoff
312,11988,oneoff
313,4846,oneoff
314,1844,oneoff
315,330,repeat
316,10032,repeat
317,8346,oneoff
318,8311,oneoff
319,6768,oneoff
320,7083,repeat
321,5237,repeat
322,5666,oneoff
323,5474,repeat
324,4155,oneoff
325,266,oneoff
326,432,repeat
327,9346,ring
327,8991,ring
328,11757,oneoff
329,7888,repeat
330,10748,repeat
331,9023,oneoff
332,9426,oneoff
333,2097,oneoff
334,5552,oneoff
335,4655,oneoff
336,3181,oneoff
337,7321,oneoff
338,10497,oneoff
339,7570,oneoff
340,3247,oneoff
341,10114,oneoff
342,2309,oneoff
343,1177,oneoff
344,4604,oneoff
345,6443,oneoff
346,6344,oneoff
347,1573,repeat
348,11658,oneoff
349,10128,oneoff
350,1686,oneoff
351,5671,oneoff
352,9871,oneoff
353,4047,repeat
354,4299,oneoff
355,8644,oneoff
356,11650,oneoff
357,2614,oneoff
358,11818,oneoff
359,100,oneoff
360,2252,oneoff
361,3032,oneoff
362,5089,oneoff
363,4537,oneoff
364,2936,oneoff
365,976,oneoff
366,11113,repeat
367,8548,oneoff
368,5833,oneoff
369,7102,oneoff
370,4598,oneoff
371,432,repeat
372,9717,oneoff
373,5026,oneoff
374,4079,oneoff
375,9956,oneoff
376,638,ring
376,8991,ring
376,9346,ring
377,6157,oneoff
378,1244,oneoff
379,4601,oneoff
380,4845,oneoff
381,6058,repeat
382,11569,oneoff
383,11193,oneoff
384,11977,oneoff
385,9362,oneoff
386,8240,oneoff
387,3528,oneoff
388,1066,oneoff
389,7048,oneoff
390,5332,repeat
391,1732,oneoff
392,3517,oneoff
393,10748,repeat
394,8961,oneoff
395,6320,repeat
396,10939,oneoff
397,6034,oneoff
398,3435,oneoff
399,229,oneoff
400,5007,oneoff
401,7183,oneoff
402,9367,oneoff
403,5733,oneoff
404,11532,oneoff
405,8185,oneoff
406,9219,oneoff
407,7861,oneoff
408,4749,oneoff
409,11586,oneoff
410,7856,oneoff
411,310,repeat
412,8400,oneoff
413,7507,oneoff
414,9660,oneoff
415,2257,oneoff
416,10979,oneoff
417,2212,repeat
418,1090,oneoff
419,3526,oneoff
420,11020,oneoff
421,169,repeat
422,7611,repeat
423,1081,oneoff
424,11764,oneoff
425,3501,oneoff
426,307,oneoff
427,618,oneoff
428,11714,oneoff
429,716,oneoff
430,5208,oneoff
431,9553,oneoff
432,193,oneoff
433,10750,oneoff
434,1000,oneoff
435,3046,oneoff
436,6245,oneoff
437,11978,oneoff
438,3407,oneoff
439,3475,oneoff
440,8514,oneoff
441,10506,oneoff
442,1858,oneoff
443,5991,oneoff
444,6862,oneoff
445,580,oneoff
446,5571,oneoff
447,1939,oneoff
448,2796,oneoff
449,3954,oneoff
450,7628,oneoff
451,4106,oneoff
452,11362,oneoff
453,1725,oneoff
454,3080,oneoff
455,7988,oneoff
456,11849,repeat
457,156,oneoff
458,10992,oneoff
459,1437,oneoff
460,802,oneoff
461,8287,oneoff
462,3007,repeat
463,7735,oneoff
464,7511,oneoff
465,7371,oneoff
466,5729,oneoff
467,5936,oneoff
468,2871,oneoff
469,10512,repeat
470,548,oneoff
471,6127,oneoff
472,1884,oneoff
473,7611,repeat
474,10908,oneoff
475,5967,repeat
476,8922,oneoff
477,2846,repeat
478,7129,oneoff
479,5758,oneoff
480,3021,oneoff
481,8181,oneoff
482,4890,oneoff
483,2422,oneoff
484,6807,oneoff
485,8364,oneoff
486,4600,oneoff
487,6342,repeat
488,11158,oneoff
489,9379,oneoff
490,4754,repeat
491,6143,oneoff
492,4438,repeat
493,6766,oneoff
494,9581,oneoff
495,6059,oneoff
496,11234,oneoff
497,10421,oneoff
498,871,oneoff
499,9749,repeat
500,4244,oneoff
501,3858,oneoff
502,585,oneoff
503,1171,oneoff
504,6441,oneoff
505,6608,oneoff
506,7683,oneoff
507,10147,oneoff
508,4887,oneoff
509,3945,oneoff
510,2547,oneoff
511,11117,oneoff
512,3197,oneoff
513,5824,oneoff
514,3123,oneoff
515,5,oneoff
516,7289,repeat
517,5345,oneoff
518,5440,oneoff
519,4983,oneoff
520,895,oneoff
521,9401,oneoff
522,7188,oneoff
523,4240,oneoff
524,5506,repeat
525,7124,oneoff
526,7240,oneoff
527,8176,oneoff
528,6952,oneoff
529,3007,repeat
530,4570,oneoff
531,648,oneoff
532,2196,repeat
533,11670,oneoff
534,11713,oneoff
535,4862,oneoff
536,11268,repeat
537,8505,oneoff
538,848,oneoff
539,5299,oneoff
540,11746,oneoff
541,9142,oneoff
542,8502,oneoff
543,6089,oneoff
544,2904,oneoff
545,8714,repeat
546,1173,oneoff
547,11605,oneoff
548,1976,oneoff
549,9422,oneoff
550,1703,oneoff
551,1103,oneoff
552,523,oneoff
553,11310,oneoff
554,6009,repeat
555,7986,oneoff
556,5361,oneoff
557,570,oneoff
558,3760,oneoff
559,7574,oneoff
560,3424,oneoff
561,4164,oneoff
562,9897,oneoff
563,591,oneoff
564,7165,oneoff
565,10743,oneoff
566,8321,oneoff
567,3221,oneoff
568,4350,oneoff
569,5356,repeat
570,1718,oneoff
571,3590,oneoff
572,7418,oneoff
573,2807,oneoff
574,11700,oneoff
575,5310,oneoff
576,2190,oneoff
577,11421,oneoff
578,10713,oneoff
579,6769,oneoff
580,3011,repeat
581,2535,oneoff
582,6635,oneoff
583,10067,oneoff
584,7592,oneoff
585,10189,oneoff
586,4556,oneoff
587,10511,oneoff
588,6020,oneoff
589,6817,oneoff
590,2916,oneoff
591,7560,oneoff
592,7060,oneoff
593,2545,oneoff
594,5075,repeat
595,10063,oneoff
596,6397,ring
596,11440,ring
596,8506,ring
597,1677,repeat
598,8633,repeat
599,11277,oneoff
600,4937,repeat
601,9425,oneoff
602,9768,oneoff
603,4718,oneoff
604,5507,repeat
605,2905,oneoff
606,8728,oneoff
607,6017,oneoff
608,9300,oneoff
609,6451,oneoff
610,869,oneoff
611,5332,repeat
612,1726,oneoff
613,9748,repeat
614,10368,oneoff
615,8567,repeat
616,6988,oneoff
617,2482,oneoff
618,9999,oneoff
619,4092,oneoff
620,5171,oneoff
621,2801,oneoff
622,5867,oneoff
623,5515,oneoff
624,8191,oneoff
625,1472,repeat
626,5668,oneoff
627,4004,oneoff
628,6342,repeat
629,1087,oneoff
630,7902,oneoff
631,4484,oneoff
632,10897,oneoff
633,4203,oneoff
634,5860,oneoff
635,169,repeat
636,3454,oneoff
637,11001,oneoff
638,9155,oneoff
639,2130,oneoff
640,7088,repeat
641,11578,oneoff
642,11357,oneoff
643,7083,repeat
644,9177,oneoff
645,5412,repeat
646,6901,oneoff
647,10057,oneoff
648,426,oneoff
649,8500,oneoff
650,9016,oneoff
651,4066,oneoff
652,3346,oneoff
653,8506,ring
653,11440,ring
653,7340,ring
654,843,oneoff
655,7844,oneoff
656,5880,oneoff
657,9945,oneoff
658,421,oneoff
659,7718,oneoff
660,7763,oneoff
661,746,oneoff
662,6008,repeat
663,7327,oneoff
664,11269,oneoff
665,9076,oneoff
666,6129,oneoff
667,2560,oneoff
668,3038,oneoff
669,2850,oneoff
670,1144,oneoff
671,4173,oneoff
672,1607,oneoff
673,6488,repeat
674,5193,oneoff
675,1542,repeat
676,5225,oneoff
677,947,repeat
678,2192,oneoff
679,10119,oneoff
680,6960,oneoff
681,7525,oneoff
682,4780,repeat
683,3521,oneoff
684,3855,oneoff
685,3007,repeat
686,5777,oneoff
687,10776,oneoff
688,2983,oneoff
689,5084,oneoff
690,9205,repeat
691,6056,oneoff
692,8995,oneoff
693,11436,oneoff
694,598,repeat
695,1393,oneoff
696,4597,oneoff
697,7488,repeat
698,5159,repeat
699,11786,oneoff
700,7351,oneoff
701,404,oneoff
702,11715,oneoff
703,8272,oneoff
704,4269,oneoff
705,4463,oneoff
706,2558,oneoff
707,10253,oneoff
708,734,oneoff
709,4318,repeat
710,2845,oneoff
711,5061,oneoff
712,11939,oneoff
713,9749,repeat
714,8531,oneoff
715,4195,repeat
716,5096,oneoff
717,638,ring
717,8991,ring
717,7762,ring
718,7431,oneoff
719,4596,oneoff
720,7357,oneoff
721,5721,oneoff
722,7827,oneoff
723,3724,oneoff
724,1190,oneoff
725,7686,repeat
726,4366,repeat
727,11072,oneoff
728,1083,oneoff
729,2206,oneoff
730,8042,oneoff
731,5283,oneoff
732,5430,oneoff
733,6693,oneoff
734,4839,oneoff
735,9571,oneoff
736,7497,oneoff
737,5459,oneoff
738,9134,oneoff
739,7888,repeat
740,4432,oneoff
741,8199,oneoff
742,6954,oneoff
743,4960,oneoff
744,6884,oneoff
745,7406,oneoff
746,973,oneoff
747,2596,oneoff
748,7217,oneoff
749,1577,oneoff
750,1778,repeat
751,5418,oneoff
752,1215,oneoff
753,6461,oneoff
754,11860,oneoff
755,2742,oneoff
756,9632,oneoff
757,1575,oneoff
758,6316,oneoff
759,5673,oneoff
760,11113,repeat
761,10838,oneoff
762,9809,oneoff
763,707,repeat
764,10292,oneoff
765,11410,oneoff
766,8896,oneoff
767,10112,oneoff
768,8908,oneoff
769,7667,oneoff
770,4414,oneoff
771,1351,oneoff
772,9570,oneoff
773,10261,oneoff
774,3215,oneoff
775,7590,oneoff
776,3568,oneoff
777,1852,oneoff
778,6740,oneoff
779,2992,oneoff
780,5426,oneoff
781,10660,oneoff
782,1573,repeat
783,4285,oneoff
784,9115,oneoff
785,11855,oneoff
786,4370,oneoff
787,4858,oneoff
788,4963,oneoff
789,11509,oneoff
790,3798,oneoff
791,9493,oneoff
792,6771,oneoff
793,8850,oneoff
794,9299,oneoff
795,9805,oneoff
796,10395,oneoff
797,8848,repeat
798,3144,oneoff
799,5628,repeat
800,6682,oneoff
801,10435,oneoff
802,514,oneoff
803,1239,oneoff
804,7953,repeat
805,8905,ring
805,11063,ring
805,4286,ring
805,3652,ring
806,1565,oneoff
807,1222,repeat
808,7751,oneoff
809,841,oneoff
810,948,oneoff
811,5147,oneoff
812,135,oneoff
813,2153,oneoff
814,310,repeat
815,11825,oneoff
816,10728,repeat
817,6464,oneoff
818,1895,oneoff
819,6228,repeat
820,5025,oneoff
821,3401,repeat
822,2766,repeat
823,4273,oneoff
824,11272,oneoff
825,5473,oneoff
826,9776,repeat
827,9667,oneoff
828,6336,oneoff
829,1282,oneoff
830,7162,repeat
831,3457,oneoff
832,5778,oneoff
833,11340,oneoff
834,3672,oneoff
835,8284,repeat
836,9817,oneoff
837,8243,oneoff
838,3410,oneoff
839,2764,oneoff
840,8866,oneoff
841,11729,oneoff
842,7276,oneoff
843,1381,oneoff
844,11243,oneoff
845,11859,repeat
846,5182,oneoff
847,8750,oneoff
848,3285,repeat
849,9205,repeat
850,7750,oneoff
851,683,oneoff
852,4573,oneoff
853,9559,oneoff
854,6973,oneoff
855,3808,oneoff
856,2808,oneoff
857,7656,oneoff
858,550,oneoff
859,11239,oneoff
860,5080,oneoff
861,4948,oneoff
862,3864,oneoff
863,6184,oneoff
864,7264,oneoff
865,7478,oneoff
866,5445,oneoff
867,6276,oneoff
868,3234,repeat
869,8074,oneoff
870,10963,oneoff
871,2842,oneoff
872,943,oneoff
873,1618,oneoff
874,7893,oneoff
875,3404,oneoff
876,5847,oneoff
877,7187,oneoff
878,259,oneoff
879,4916,oneoff
880,7584,repeat
881,1881,oneoff
882,9287,repeat
883,10381,oneoff
884,10,oneoff
885,736,repeat
886,7161,repeat
887,2938,oneoff
888,9200,oneoff
889,7953,repeat
890,7579,oneoff
891,7589,oneoff
892,5246,oneoff
893,1035,oneoff
894,1595,repeat
895,10258,oneoff
896,2244,oneoff
897,8612,oneoff
898,7622,oneoff
899,4256,oneoff
900,4016,oneoff
901,7128,oneoff
902,11360,oneoff
903,4894,oneoff
904,330,repeat
905,11473,oneoff
906,1670,oneoff
907,10596,oneoff
908,11392,oneoff
909,11348,oneoff
910,393,oneoff
911,413,oneoff
912,8366,oneoff
913,2047,oneoff
914,11216,oneoff
915,10100,oneoff
916,6130,oneoff
917,1492,oneoff
918,7355,oneoff
919,7303,oneoff
920,11387,oneoff
921,11182,oneoff
922,4921,oneoff
923,4276,oneoff
924,7410,oneoff
925,6752,oneoff
926,6138,oneoff
927,2562,repeat
928,2096,oneoff
929,11590,oneoff
930,733,oneoff
931,8125,oneoff
932,5697,oneoff
933,4651,oneoff
934,5092,oneoff
935,10257,oneoff
936,10523,oneoff
937,3500,oneoff
938,7404,oneoff
939,10005,oneoff
940,6550,repeat
941,253,oneoff
942,9074,oneoff
943,10190,repeat
944,10609,oneoff
945,788,oneoff
946,4467,oneoff
947,10423,oneoff
948,1098,oneoff
949,8625,oneoff
950,8781,oneoff
951,8084,oneoff
952,9380,repeat
953,4972,oneoff
954,10282,oneoff
955,6696,oneoff
956,4829,oneoff
957,2879,oneoff
958,3455,oneoff
959,1278,oneoff
960,9944,repeat
961,7155,oneoff
962,4783,oneoff
963,10566,oneoff
964,4637,oneoff
965,10594,oneoff
966,7036,oneoff
967,11983,oneoff
968,9746,oneoff
969,6388,oneoff
970,8206,oneoff
971,7099,oneoff
972,9779,oneoff
973,7163,oneoff
974,10936,oneoff
975,10457,oneoff
976,1358,oneoff
977,4362,oneoff
978,7824,oneoff
979,2980,repeat
980,11171,oneoff
981,5236,oneoff
982,4744,oneoff
983,4968,oneoff
984,3254,oneoff
985,7909,oneoff
986,10572,oneoff
987,2856,repeat
988,10563,repeat
989,2231,oneoff
990,5006,oneoff
991,7204,oneoff
992,139,oneoff
993,6476,oneoff
994,9873,repeat
995,77,repeat
996,3554,oneoff
997,5578,oneoff
998,2898,oneoff
999,9840,repeat
1000,3667,oneoff
1001,6112,oneoff
1002,4262,oneoff
1003,11048,oneoff
1004,8127,oneoff
1005,5701,oneoff
1006,4402,oneoff
1007,6417,oneoff
1008,6008,repeat
1009,3909,oneoff
1010,1950,oneoff
1011,6402,oneoff
1012,778,oneoff
1013,8012,oneoff
1014,7518,oneoff
1015,6385,oneoff
1016,6008,repeat
1017,876,repeat
1018,6233,oneoff
1019,6173,oneoff
1020,7865,oneoff
1021,10466,repeat
1022,9304,oneoff
1023,10151,oneoff
1024,8671,oneoff
1025,1931,oneoff
1026,3345,oneoff
1027,682,oneoff
1028,4288,oneoff
1029,687,oneoff
1030,10407,oneoff
1031,6930,oneoff
1032,7745,oneoff
1033,8142,oneoff
1034,7584,repeat
1035,11246,oneoff
1036,736,repeat
1037,5718,oneoff
1038,11567,oneoff
1039,3991,oneoff
1040,6829,oneoff
1041,7139,oneoff
1042,6526,oneoff
1043,534,oneoff
1044,2448,oneoff
1045,2651,oneoff
1046,10405,oneoff
1047,10185,oneoff
1048,9287,repeat
1049,7405,oneoff
1050,7095,oneoff
1051,10745,oneoff
1052,3285,repeat
1053,11300,oneoff
1054,9986,repeat
1055,5364,oneoff
1056,10709,oneoff
1057,10735,oneoff
1058,6644,oneoff
1059,2945,oneoff
1060,4241,oneoff
1061,3732,oneoff
1062,4536,oneoff
1063,10496,oneoff
1064,1302,oneoff
1065,5946,oneoff
1066,308,oneoff
1067,651,oneoff
1068,56,oneoff
1069,8923,oneoff
1070,8341,oneoff
1071,2174,oneoff
1072,372,oneoff
1073,10032,repeat
1074,6963,oneoff
1075,4728,oneoff
1076,11859,repeat
1077,5248,oneoff
1078,519,repeat
1079,5244,oneoff
1080,1684,oneoff
1081,937,oneoff
1082,2862,oneoff
1083,6658,oneoff
1084,10453,repeat
1085,6007,oneoff
1086,11315,oneoff
1087,8363,oneoff
1088,7618,repeat
1089,3426,oneoff
1090,7850,oneoff
1091,11176,oneoff
1092,7037,oneoff
1093,947,repeat
1094,5220,repeat
1095,11139,oneoff
1096,3159,oneoff
1097,8343,oneoff
1098,5885,oneoff
1099,10517,oneoff
1100,11333,oneoff
1101,11384,oneoff
1102,2022,oneoff
1103,3149,repeat
1104,1322,oneoff
1105,6376,oneoff
1106,7817,oneoff
1107,127,oneoff
1108,4739,oneoff
1109,6436,oneoff
1110,3684,oneoff
1111,6312,oneoff
1112,10035,oneoff
1113,7736,oneoff
1114,8451,oneoff
1115,236,oneoff
1116,10600,oneoff
1117,9584,oneoff
1118,10602,oneoff
1119,6521,oneoff
1120,4306,oneoff
1121,9920,oneoff
1122,8129,oneoff
1123,7046,oneoff
1124,6891,oneoff
1125,2528,oneoff
1126,2802,oneoff
1127,5529,oneoff
1128,1803,oneoff
1129,4318,repeat
1130,10413,oneoff
1131,10813,oneoff
1132,11556,oneoff
1133,3903,oneoff
1134,9729,oneoff
1135,11223,oneoff
1136,10774,oneoff
1137,7953,repeat
1138,1773,oneoff
1139,1642,oneoff
1140,5755,oneoff
1141,6920,oneoff
1142,8116,repeat
1143,11018,oneoff
1144,7144,oneoff
1145,7674,repeat
1146,3603,oneoff
1147,10850,oneoff
1148,3824,oneoff
1149,9575,oneoff
1150,8632,oneoff
1151,2648,oneoff
1152,1084,oneoff
1153,9380,repeat
1154,4426,oneoff
1155,9324,oneoff
1156,5467,oneoff
1157,519,repeat
1158,6,oneoff
1159,2300,repeat
1160,7662,oneoff
1161,8863,oneoff
1162,10846,repeat
1163,8386,oneoff
1164,6107,oneoff
1165,9046,oneoff
1166,119,oneoff
1167,2608,oneoff
1168,5692,oneoff
1169,4391,oneoff
1170,864,oneoff
1171,11307,oneoff
1172,6620,oneoff
1173,9555,oneoff
1174,10244,oneoff
1175,9125,oneoff
1176,228,oneoff
1177,4308,oneoff
1178,9193,repeat
1179,6431,oneoff
1180,11213,oneoff
1181,6380,oneoff
1182,8118,repeat
1183,10004,oneoff
1184,11206,repeat
1185,1870,oneoff
1186,1962,oneoff
1187,4335,oneoff
1188,7146,oneoff
1189,2073,oneoff
1190,3833,oneoff
1191,3401,repeat
1192,9306,oneoff
1193,10480,oneoff
1194,11251,oneoff
1195,264,oneoff
1196,6180,oneoff
1197,10105,oneoff
1198,2272,oneoff
1199,8953,repeat
1200,11942,oneoff
1201,2108,oneoff
1202,5411,oneoff
1203,7088,repeat
1204,1656,oneoff
1205,8712,oneoff
1206,1369,oneoff
1207,10417,repeat
1208,10827,oneoff
1209,5075,repeat
1210,11149,oneoff
1211,2890,oneoff
1212,2041,oneoff
1213,11819,oneoff
1214,3572,oneoff
1215,9532,oneoff
1216,8173,oneoff
1217,1641,oneoff
1218,239,oneoff
1219,11122,oneoff
1220,1953,oneoff
1221,8768,oneoff
1222,3616,oneoff
1223,5380,oneoff
1224,1733,ring
1224,8506,ring
1224,10943,ring
1225,2694,oneoff
1226,8353,oneoff
1227,11870,oneoff
1228,2617,oneoff
1229,5544,oneoff
1230,3472,oneoff
1231,6091,oneoff
1232,5597,oneoff
1233,9986,repeat
1234,8066,repeat
1235,8196,oneoff
1236,9276,oneoff
1237,9669,oneoff
1238,6564,oneoff
1239,11172,oneoff
1240,4223,repeat
1241,9731,oneoff
1242,4932,oneoff
1243,4195,repeat
1244,2966,oneoff
1245,7721,oneoff
1246,79,oneoff
1247,7752,oneoff
1248,4328,oneoff
1249,612,oneoff
1250,1086,oneoff
1251,2185,oneoff
1252,10902,oneoff
1253,10794,oneoff
1254,10299,oneoff
1255,8066,repeat
1256,9735,oneoff
1257,7101,oneoff
1258,7985,oneoff
1259,6717,oneoff
1260,6125,oneoff
1261,5264,oneoff
1262,4779,oneoff
1263,2241,oneoff
1264,9402,oneoff
1265,2774,oneoff
1266,2243,oneoff
1267,1274,oneoff
1268,5332,repeat
1269,4126,oneoff
1270,2044,oneoff
1271,10831,repeat
1272,3776,oneoff
1273,10595,oneoff
1274,4110,oneoff
1275,2016,oneoff
1276,8586,oneoff
1277,6321,repeat
1278,5900,oneoff
1279,1227,oneoff
1280,8714,repeat
1281,8326,oneoff
1282,5699,oneoff
1283,7843,oneoff
1284,5877,oneoff
1285,5923,oneoff
1286,5536,oneoff
1287,6008,repeat
1288,10476,oneoff
1289,8874,oneoff
1290,9671,oneoff
1291,941,oneoff
1292,428,oneoff
1293,2256,oneoff
1294,5715,repeat
1295,1142,oneoff
1296,8167,repeat
1297,5183,repeat
1298,2980,repeat
1299,970,oneoff
1300,2390,oneoff
1301,5499,oneoff
1302,2296,oneoff
1303,10544,repeat
1304,2704,oneoff
1305,10293,oneoff
1306,4719,oneoff
1307,1909,oneoff
1308,6170,oneoff
1309,7493,oneoff
1310,4465,repeat
1311,11044,oneoff
1312,6509,oneoff
1313,8045,oneoff
1314,8506,ring
1314,1733,ring
1314,10943,ring
1314,7340,ring
1315,3306,oneoff
1316,11278,oneoff
1317,2425,oneoff
1318,2959,oneoff
1319,3845,oneoff
1320,4326,oneoff
1321,96,oneoff
1322,2735,oneoff
1323,7053,oneoff
1324,11932,oneoff
1325,811,oneoff
1326,10268,oneoff
1327,2165,oneoff
1328,5914,oneoff
1329,6310,oneoff
1330,832,oneoff
1331,353,oneoff
1332,10800,oneoff
1333,8755,oneoff
1334,2498,oneoff
1335,11505,oneoff
1336,10633,oneoff
1337,7964,oneoff
1338,1004,oneoff
1339,7971,oneoff
1340,10071,oneoff
1341,845,oneoff
1342,8567,repeat
1343,3617,oneoff
1344,7310,oneoff
1345,8567,repeat
1346,4555,oneoff
1347,3967,oneoff
1348,7618,repeat
1349,6099,oneoff
1350,128,oneoff
1351,11160,oneoff
1352,9003,oneoff
1353,2951,repeat
1354,6166,oneoff
1355,5230,oneoff
1356,11575,oneoff
1357,7361,oneoff
1358,3449,oneoff
1359,3888,oneoff
1360,1834,oneoff
1361,11470,oneoff
1362,11063,ring
1362,8905,ring
1363,3558,oneoff
1364,3498,oneoff
1365,1683,oneoff
1366,9620,oneoff
1367,3101,oneoff
1368,2939,oneoff
1369,11320,oneoff
1370,1897,oneoff
