ArrestSurrenderID,CaseMasterID,AccusedMasterID,ArrestSurrenderTypeID,ArrestSurrenderDistrictId,IOID
137,267,276,2,16,36
138,269,278,2,6,1
139,271,280,2,3,24
140,272,282,1,19,33
141,275,285,2,9,44
142,278,288,2,16,46
143,280,290,2,25,47
144,282,292,2,24,2
145,283,293,1,18,44
146,284,294,1,4,16
147,285,295,1,23,23
148,287,297,1,20,38
149,288,298,2,8,42
150,290,300,2,29,10
151,292,302,2,4,40
152,297,307,2,1,31
153,298,308,1,16,11
154,299,310,2,12,10
155,301,312,1,11,37
156,302,313,2,15,26
157,303,314,2,21,48
158,304,315,2,25,21
159,313,324,1,10,1
160,315,326,1,31,3
161,318,329,2,11,24
162,319,330,1,24,21
163,322,333,1,22,43
164,324,335,2,22,6
165,325,336,2,8,45
166,327,338,2,1,37
167,331,343,2,22,6
168,333,345,2,9,40
169,334,346,1,18,18
170,335,347,2,24,39
171,336,348,1,30,17
172,337,349,2,10,2
173,338,350,1,31,38
174,339,351,1,23,31
175,340,352,1,26,19
176,342,354,1,22,2
177,345,357,1,1,1
178,346,358,2,7,15
179,351,363,2,10,38
180,353,365,1,2,33
181,354,366,2,4,10
182,355,367,2,31,16
183,356,368,2,30,26
184,358,370,1,14,8
185,359,371,2,7,47
186,360,372,2,9,24
187,364,376,1,10,9
188,365,377,2,14,32
189,368,380,2,4,1
190,370,382,2,11,21
191,371,383,2,10,6
192,372,384,1,30,26
193,373,385,2,19,12
194,378,392,1,4,22
195,379,393,1,18,43
196,380,394,2,4,33
197,384,398,2,5,32
198,385,399,1,22,16
199,386,400,1,3,11
200,387,401,2,3,25
201,388,402,2,16,49
202,390,404,2,1,23
203,394,408,2,19,32
204,399,413,1,7,33
205,401,415,2,16,2
206,404,418,2,24,29
207,411,425,2,20,38
208,412,426,2,13,13
209,414,428,1,12,14
210,415,429,2,29,17
211,416,430,2,5,35
212,417,431,1,22,39
213,419,433,2,28,46
214,422,436,1,17,30
215,424,438,1,30,44
216,426,440,2,30,38
217,433,447,1,30,3
218,434,448,2,13,33
219,437,451,1,24,46
220,438,452,1,16,45
221,440,454,2,25,38
222,442,456,1,8,17
223,443,457,1,19,41
224,444,458,1,19,32
225,445,459,1,19,27
226,447,461,1,22,29
227,448,462,2,22,38
228,450,464,1,5,48
229,454,468,2,18,35
230,456,470,1,24,13
231,461,475,2,18,29
232,462,476,1,24,32
233,463,477,1,7,39
234,465,479,2,6,41
235,468,482,1,30,47
236,470,484,1,18,46
237,471,485,1,4,38
238,474,488,1,22,8
239,475,489,2,7,24
240,479,493,2,26,18
241,480,494,1,12,26
242,484,498,2,19,40
243,485,499,2,9,21
244,491,505,2,28,36
245,494,508,2,10,49
246,495,509,2,9,31
247,496,510,2,22,44
248,500,514,2,26,14
249,501,515,1,19,17
250,502,516,2,16,22
251,505,519,1,3,38
252,506,520,2,12,29
253,507,521,1,2,12
254,509,523,2,9,7
255,516,530,1,27,35
256,518,532,1,18,24
257,521,535,2,5,36
258,522,536,2,12,37
259,525,539,2,22,16
260,526,540,1,24,22
261,529,543,1,20,22
262,530,544,1,1,2
263,531,545,1,18,5
264,535,549,1,15,50
265,536,550,2,9,5
266,538,552,1,9,4
267,539,553,2,12,28
268,540,554,2,16,32
269,546,560,1,4,27
270,547,561,1,6,14
271,549,563,1,2,50
272,550,564,1,26,41
273,551,565,2,27,17
274,555,569,2,26,41
275,557,571,2,3,43
276,561,575,1,5,5
277,565,579,2,17,13
278,566,580,2,31,35
279,567,581,2,6,36
280,572,586,1,19,39
281,576,590,1,27,48
282,578,592,1,9,15
283,579,593,2,28,19
284,584,598,1,4,15
285,586,600,2,13,31
286,588,602,1,12,44
287,590,604,1,24,48
288,591,605,1,25,24
289,596,611,1,15,36
290,596,612,1,10,40
291,599,615,2,31,44
292,613,629,2,23,25
293,615,631,1,10,14
294,617,633,2,15,31
295,618,634,2,23,8
296,619,635,1,13,45
297,624,640,1,3,4
298,627,643,2,20,4
299,629,645,1,14,15
300,630,646,2,29,46
301,631,647,1,9,21
302,632,648,1,26,36
303,633,649,2,10,37
304,635,651,1,14,1
305,639,655,1,4,22
306,640,656,1,8,13
307,641,657,2,9,26
308,642,658,2,4,9
309,645,661,2,28,24
310,648,664,1,29,1
311,652,668,1,11,7
312,653,669,1,27,29
313,653,670,2,7,44
314,654,672,2,24,8
315,656,674,1,8,1
316,657,675,1,22,25
317,658,676,1,16,39
318,660,678,1,22,31
319,661,679,1,26,50
320,662,680,2,21,20
321,666,684,2,16,21
322,667,685,1,13,28
323,669,687,1,26,35
324,675,693,1,13,12
325,678,696,1,15,45
326,685,703,2,23,45
327,686,704,2,2,8
328,687,705,2,6,47
329,688,706,1,1,16
330,690,708,2,25,29
331,692,710,2,4,33
332,695,713,1,31,29
333,696,714,2,11,31
334,698,716,2,17,6
335,699,717,2,7,22
336,701,719,2,21,45
337,702,720,2,21,48
338,704,722,2,15,7
339,705,723,1,10,21
340,706,724,1,21,4
341,707,725,1,25,12
342,713,731,2,6,43
343,715,733,1,13,44
344,717,736,2,14,37
345,719,739,1,21,35
346,720,740,2,4,13
347,724,744,2,31,43
348,725,745,2,6,29
349,727,747,2,2,4
350,728,748,2,14,42
351,729,749,1,14,40
352,730,750,2,8,8
353,731,751,2,17,3
354,732,752,1,18,43
355,735,755,1,23,42
356,738,758,2,4,23
357,743,763,1,23,26
358,746,766,1,2,27
359,748,768,2,21,42
360,753,773,2,18,49
361,754,774,1,1,40
362,755,775,1,31,47
363,757,777,1,28,28
364,758,778,2,28,36
365,761,781,1,28,41
366,763,783,1,6,9
367,764,784,1,9,30
368,765,785,1,18,18
369,766,786,2,24,10
370,769,789,2,21,5
371,771,791,1,27,41
372,772,792,1,3,50
373,774,794,2,29,19
374,776,796,1,7,45
375,778,798,2,3,8
376,779,799,2,2,14
377,783,803,2,21,47
378,785,805,1,31,44
379,786,806,2,24,37
380,787,807,1,30,12
381,791,811,2,8,2
382,792,812,1,20,41
383,793,813,2,7,10
384,794,814,1,6,7
385,795,815,1,6,8
386,799,819,2,31,3
387,800,820,1,26,26
388,802,822,2,1,26
389,803,823,2,22,48
390,804,824,1,19,30
391,805,826,1,1,32
392,805,827,2,12,43
393,805,828,1,7,10
394,806,829,1,11,8
395,809,832,1,2,5
396,810,833,1,18,34
397,811,834,1,4,14
398,812,835,2,4,37
399,813,836,1,24,23
400,815,838,1,12,28
401,818,841,2,1,44
402,820,843,2,10,35
403,823,846,1,14,45
404,826,849,2,9,47
405,827,850,2,19,17
406,828,851,2,25,8
407,829,852,2,25,50
408,832,855,2,11,3
409,833,856,2,10,1
410,838,861,2,21,4
411,839,862,2,15,20
412,841,864,2,3,4
413,843,866,2,19,5
414,844,867,1,31,29
415,845,868,1,7,37
416,846,869,1,27,16
417,847,870,2,30,27
418,850,873,1,28,26
419,851,874,2,27,7
420,853,876,2,15,42
421,854,877,1,2,12
422,856,879,2,11,22
423,858,881,1,1,15
424,859,882,2,17,37
425,861,884,2,10,46
426,863,886,2,19,22
427,872,895,2,30,1
428,874,897,2,29,31
429,875,898,1,22,32
430,877,900,1,18,45
431,879,902,2,2,40
432,880,903,2,21,6
433,881,904,1,22,10
434,882,905,2,18,42
435,884,907,2,10,23
436,885,908,1,3,4
437,887,910,1,14,45
438,889,912,1,30,39
439,891,914,1,23,8
440,893,916,1,9,38
441,896,919,1,8,2
442,899,922,1,14,45
443,906,929,2,16,42
444,907,930,2,25,10
445,910,933,1,3,27
446,913,936,1,21,13
447,914,937,2,8,4
448,917,940,1,9,32
449,918,941,1,3,2
450,920,943,2,11,20
451,923,946,2,1,2
452,924,947,2,27,28
453,926,949,1,5,12
454,931,954,1,3,21
455,932,955,1,21,29
456,933,956,2,18,35
457,934,957,2,2,33
458,935,958,1,19,6
459,937,960,1,14,1
460,938,961,1,15,50
461,943,966,1,5,43
462,944,967,2,14,20
463,945,968,2,31,18
464,947,970,2,4,44
465,948,971,2,4,6
466,951,974,1,27,33
467,952,975,2,11,31
468,955,978,1,27,25
469,957,980,2,2,22
470,958,981,2,24,23
471,959,982,1,31,19
472,960,983,1,27,48
473,966,989,1,6,8
474,967,990,2,19,27
475,968,991,1,21,34
476,971,994,1,25,34
477,974,997,2,4,50
478,976,999,2,18,22
479,979,1002,2,20,34
480,981,1004,2,14,2
481,983,1006,2,7,23
482,984,1007,2,12,43
483,985,1008,2,12,14
484,986,1009,1,19,15
485,988,1011,2,30,26
486,990,1013,2,22,13
487,994,1017,2,15,9
488,996,1019,1,14,4
489,997,1020,2,16,43
490,998,1021,1,14,32
491,1002,1025,1,21,5
492,1003,1026,1,22,2
493,1004,1027,2,19,1
494,1005,1028,2,20,4
495,1007,1030,2,2,47
496,1008,1031,1,9,20
497,1010,1033,2,10,34
498,1014,1037,1,8,39
499,1018,1041,1,23,32
500,1019,1042,2,11,5
501,1023,1046,2,12,11
502,1025,1048,1,19,34
503,1031,1054,1,25,50
504,1039,1062,2,19,37
505,1040,1063,2,2,21
506,1041,1064,2,30,46
507,1043,1066,1,7,41
508,1047,1070,1,18,2
509,1052,1075,2,4,40
510,1053,1076,2,18,10
511,1054,1077,1,28,15
512,1056,1079,2,3,47
513,1057,1080,2,21,17
514,1058,1081,2,12,13
515,1062,1085,1,14,29
516,1067,1090,1,6,43
517,1071,1094,2,17,31
518,1073,1096,2,5,25
519,1074,1097,2,26,45
520,1076,1099,1,2,29
521,1078,1101,2,9,16
522,1079,1102,2,19,36
523,1080,1103,1,19,7
524,1082,1105,1,1,35
525,1084,1107,2,7,12
526,1085,1108,1,18,8
527,1086,1109,2,19,44
528,1088,1111,2,18,48
529,1089,1112,2,23,44
530,1090,1113,1,5,38
531,1092,1115,2,23,38
532,1093,1116,2,5,9
533,1094,1117,1,18,20
534,1096,1119,1,17,12
535,1098,1121,2,19,37
536,1102,1125,1,13,9
537,1103,1126,2,8,29
538,1104,1127,1,1,1
539,1105,1128,2,1,47
540,1106,1129,1,12,43
541,1107,1130,2,22,17
542,1108,1131,1,24,39
543,1109,1132,2,16,36
544,1110,1133,2,29,29
545,1112,1135,1,24,25
546,1114,1137,2,11,36
547,1115,1138,2,22,28
548,1119,1142,2,26,15
549,1125,1148,1,27,11
550,1126,1149,2,11,18
551,1128,1151,1,22,6
552,1129,1152,2,19,1
553,1133,1156,2,19,15
554,1134,1157,2,26,19
555,1136,1159,2,14,27
556,1138,1161,1,10,34
557,1143,1166,2,29,18
558,1145,1168,1,10,16
559,1146,1169,1,28,1
560,1147,1170,1,28,19
561,1150,1173,2,26,45
562,1153,1176,1,15,44
563,1154,1177,2,5,18
564,1155,1178,1,24,18
565,1157,1180,2,29,42
566,1158,1181,1,25,38
567,1159,1182,2,5,23
568,1162,1185,2,3,45
569,1165,1188,2,29,7
570,1166,1189,2,14,41
571,1168,1191,1,21,41
572,1169,1192,2,12,47
573,1171,1194,2,22,17
574,1172,1195,1,11,27
575,1174,1197,1,7,32
576,1176,1199,1,19,30
577,1178,1201,1,12,4
578,1181,1204,1,1,33
579,1182,1205,1,17,16
580,1183,1206,1,25,49
581,1184,1207,1,24,8
582,1186,1209,2,26,2
583,1187,1210,1,13,36
584,1188,1211,2,1,18
585,1191,1214,1,1,27
586,1192,1215,2,31,12
587,1193,1216,2,19,4
588,1194,1217,1,1,49
589,1195,1218,1,27,42
590,1196,1219,2,9,4
591,1197,1220,2,31,16
592,1198,1221,1,25,13
593,1199,1222,1,16,35
594,1200,1223,1,4,13
595,1201,1224,1,18,31
596,1202,1225,2,19,50
597,1203,1226,1,6,5
598,1204,1227,1,3,5
599,1205,1228,2,10,37
600,1206,1229,2,23,43
601,1207,1230,2,30,42
602,1210,1233,2,5,35
603,1211,1234,1,27,50
604,1213,1236,1,16,44
605,1215,1238,2,24,27
606,1216,1239,2,27,27
607,1219,1242,1,19,36
608,1222,1245,1,23,13
609,1223,1246,2,9,10
610,1224,1247,1,7,23
611,1226,1251,1,29,28
612,1227,1252,1,30,34
613,1229,1254,1,28,11
614,1233,1258,2,23,5
615,1234,1259,1,27,10
616,1235,1260,2,22,19
617,1237,1262,2,28,28
618,1238,1263,1,28,20
619,1241,1266,2,14,21
620,1243,1268,2,16,14
621,1244,1269,1,13,42
622,1248,1273,2,7,40
623,1254,1279,2,24,23
624,1260,1285,2,10,45
625,1262,1287,1,15,2
626,1263,1288,1,1,2
627,1265,1290,2,14,26
628,1268,1293,1,16,5
629,1270,1295,1,16,1
630,1271,1296,2,15,3
631,1272,1297,1,19,35
632,1274,1299,2,17,11
633,1275,1300,1,6,3
634,1278,1303,1,7,13
635,1279,1304,1,27,17
636,1282,1307,2,7,48
637,1283,1308,1,8,14
638,1288,1313,2,22,17
639,1298,1323,2,7,23
640,1299,1324,1,18,10
641,1300,1325,2,13,49
642,1303,1328,1,14,15
643,1306,1331,2,1,45
644,1307,1332,1,1,50
645,1308,1333,2,19,11
646,1309,1334,1,30,14
647,1310,1335,1,11,39
648,1311,1336,1,19,3
649,1312,1337,2,7,35
650,1314,1339,2,26,34
651,1314,1341,1,10,48
652,1314,1342,2,3,49
653,1317,1345,1,16,43
654,1319,1347,1,15,36
655,1320,1348,2,15,34
656,1322,1350,1,14,46
657,1323,1351,2,29,38
658,1324,1352,2,12,30
659,1325,1353,1,17,28
660,1334,1362,1,18,5
661,1336,1364,2,11,28
662,1342,1370,1,7,22
663,1343,1371,2,6,44
664,1346,1374,2,8,28
665,1348,1376,2,31,44
666,1349,1377,1,30,25
667,1350,1378,2,9,20
668,1351,1379,2,3,12
669,1353,1381,2,4,48
670,1354,1382,1,28,18
671,1356,1384,2,31,31
672,1357,1385,1,28,6
673,1358,1386,1,16,35
674,1359,1387,2,26,18
675,1362,1390,1,15,25
676,1365,1394,1,29,11
677,1367,1396,1,8,43
678,1368,1397,1,1,9
679,1369,1398,2,16,39
680,1371,1400,2,15,25
681,1373,1402,1,21,10
682,1375,1404,1,28,15
683,1376,1405,1,4,14
684,1379,1408,1,25,46
685,1382,1411,1,1,41
686,1384,1413,2,23,20
687,1385,1414,1,14,34
688,1386,1415,2,5,20
689,1387,1416,2,19,42
690,1388,1417,1,30,39
691,1389,1418,2,15,20
692,1390,1419,1,15,3
693,1391,1420,1,12,48
694,1394,1423,2,11,21
695,1395,1424,2,20,9
696,1397,1426,1,6,9
697,1398,1427,1,6,41
698,1400,1429,2,6,9
699,1405,1434,1,3,45
700,1408,1437,2,8,48
701,1411,1440,2,20,26
702,1412,1441,2,14,9
703,1414,1444,1,4,3
704,1415,1445,1,9,26
705,1416,1446,2,1,9
706,1417,1447,1,25,39
707,1418,1448,2,4,25
708,1419,1449,2,14,50
709,1421,1451,1,3,5
710,1422,1452,2,13,26
711,1429,1459,2,23,15
712,1430,1460,2,13,28
713,1431,1462,2,9,16
714,1433,1464,2,3,46
715,1434,1465,1,4,19
716,1436,1468,1,11,8
717,1437,1469,2,31,47
718,1440,1472,2,11,44
719,1441,1473,2,22,38
720,1446,1478,2,15,14
721,1448,1480,1,30,34
722,1450,1482,2,21,44
723,1454,1486,2,24,35
724,1455,1487,2,24,29
725,1459,1491,1,26,12
726,1462,1494,2,23,47
727,1464,1496,2,18,27
728,1466,1498,1,9,14
729,1470,1502,1,26,31
730,1473,1505,1,4,25
731,1474,1506,1,15,45
732,1475,1507,2,25,29
733,1478,1510,1,27,7
734,1480,1512,2,2,24
735,1481,1513,1,10,39
736,1483,1515,1,22,38
737,1486,1518,1,18,11
738,1488,1520,1,25,44
739,1489,1521,1,18,48
740,1490,1522,1,29,45
741,1493,1525,2,16,42
742,1494,1526,2,27,1
743,1502,1534,2,12,10
744,1504,1536,2,30,50
745,1505,1537,1,27,35
746,1507,1539,2,25,26
747,1510,1542,1,28,20
748,1512,1544,1,8,27
749,1513,1545,2,12,31
750,1514,1546,2,19,42
751,1515,1547,1,5,39
752,1516,1548,1,1,33
753,1520,1552,2,3,28
754,1525,1557,1,14,24
755,1527,1559,2,24,18
756,1528,1560,1,3,30
757,1530,1562,1,13,6
758,1531,1563,1,4,41
759,1532,1564,2,26,28
760,1533,1565,2,30,26
761,1534,1566,2,23,28
762,1536,1568,1,31,31
763,1537,1569,1,11,45
764,1541,1573,1,24,10
765,1550,1582,1,10,47
766,1553,1585,1,20,11
767,1555,1587,1,19,44
768,1557,1589,1,26,6
769,1558,1590,1,5,19
770,1559,1591,1,9,30
771,1560,1592,2,6,9
772,1563,1595,2,17,33
773,1564,1596,2,10,36
774,1565,1597,1,8,29
775,1568,1600,2,4,25
776,1569,1601,1,21,15
777,1570,1602,2,29,20
778,1574,1606,2,2,29
779,1576,1608,1,25,17
780,1580,1612,2,7,36
781,1583,1615,1,23,2
782,1587,1619,2,17,16
783,1589,1621,1,6,14
784,1590,1622,1,13,12
785,1593,1625,2,31,37
786,1594,1626,1,23,18
787,1595,1627,1,12,17
788,1598,1630,1,16,20
789,1600,1632,1,5,21
790,1601,1633,2,9,49
791,1602,1634,1,7,40
792,1603,1635,1,14,45
793,1604,1636,1,25,32
794,1606,1638,2,10,22
795,1609,1641,1,30,44
796,1611,1643,2,31,9
797,1612,1644,1,17,34
798,1613,1645,1,2,4
799,1617,1649,1,30,30
800,1619,1651,2,3,2
801,1620,1652,2,25,29
802,1621,1653,1,30,31
803,1623,1655,2,31,15
804,1624,1656,1,26,16
805,1627,1659,1,8,3
806,1630,1662,1,3,23
807,1631,1663,1,29,14
808,1634,1666,2,29,50
809,1636,1668,2,16,2
810,1637,1669,1,19,43
811,1638,1672,1,27,41
812,1639,1673,1,28,29
813,1641,1675,2,11,32
814,1643,1677,2,31,10
815,1645,1679,1,13,41
816,1647,1681,2,3,39
817,1648,1682,1,3,24
818,1649,1683,2,12,10
819,1651,1685,1,31,10
820,1657,1691,2,20,45
821,1658,1692,2,7,17
822,1659,1693,1,28,36
823,1660,1694,1,24,6
824,1662,1696,1,14,16
825,1665,1699,1,8,11
826,1668,1702,2,8,33
827,1670,1704,2,5,9
828,1671,1705,2,24,15
829,1674,1708,1,1,37
830,1676,1710,1,4,44
831,1677,1711,2,26,36
832,1680,1714,1,6,24
833,1682,1716,1,30,19
834,1683,1717,1,18,42
835,1684,1718,2,18,45
836,1685,1719,1,26,43
837,1690,1724,1,31,43
838,1692,1726,1,14,21
839,1693,1727,1,5,8
840,1696,1730,1,29,47
841,1697,1731,1,15,3
842,1699,1733,1,30,27
843,1700,1734,1,13,6
844,1701,1735,1,25,32
845,1702,1736,1,9,3
846,1704,1738,1,20,24
847,1708,1742,1,4,39
848,1711,1745,1,3,49
849,1712,1746,2,21,36
850,1714,1748,2,31,35
851,1715,1749,1,15,35
852,1716,1750,2,15,29
853,1718,1752,2,16,22
854,1719,1753,1,24,2
855,1723,1757,1,28,19
856,1724,1758,1,25,3
857,1725,1759,2,6,5
858,1726,1760,1,2,26
859,1731,1765,2,23,28
860,1733,1767,2,24,21
861,1734,1768,1,31,3
862,1735,1769,1,29,15
863,1736,1770,1,16,39
864,1737,1771,1,17,18
865,1741,1775,1,22,46
866,1747,1781,1,24,9
867,1748,1782,1,13,43
868,1753,1787,2,10,9
869,1754,1788,1,8,50
870,1755,1789,2,3,33
871,1758,1792,2,7,8
872,1761,1795,1,9,37
873,1762,1796,2,15,40
874,1764,1798,1,20,35
875,1766,1800,1,29,39
876,1767,1801,2,13,43
877,1768,1802,2,31,9
878,1770,1804,2,5,44
879,1772,1806,1,24,32
880,1773,1807,2,21,3
881,1774,1808,2,14,9
882,1776,1810,2,22,31
883,1781,1815,2,10,3
884,1784,1818,2,2,31
885,1785,1819,2,10,31
886,1786,1820,1,29,33
887,1789,1823,2,2,6
888,1790,1824,1,1,49
889,1791,1825,2,20,29
890,1792,1826,1,9,39
891,1794,1828,1,25,43
892,1796,1830,1,7,35
893,1801,1835,1,23,28
894,1802,1836,1,12,5
895,1803,1837,2,13,11
896,1804,1838,1,26,8
897,1805,1839,1,11,39
898,1810,1844,1,10,17
899,1812,1846,1,27,25
900,1813,1847,2,19,24
901,1814,1848,2,19,39
902,1815,1849,2,14,10
903,1817,1851,1,16,31
904,1820,1854,1,8,38
905,1822,1856,1,26,3
906,1824,1858,1,24,41
907,1825,1860,1,4,44
908,1829,1865,2,31,33
909,1830,1866,1,26,40
910,1834,1870,1,28,39
911,1835,1871,2,13,3
912,1836,1872,1,27,31
913,1838,1874,1,26,32
914,1842,1879,2,11,44
915,1843,1880,1,14,3
916,1844,1881,1,21,9
917,1846,1883,2,12,3
918,1848,1885,2,12,27
919,1853,1890,1,20,41
920,1854,1891,2,20,46
921,1855,1892,1,17,25
922,1857,1894,1,6,3
923,1858,1895,1,12,14
924,1859,1897,2,7,24
925,1860,1900,2,19,33
926,1862,1902,2,25,29
927,1865,1905,2,10,1
928,1866,1906,2,9,50
929,1866,1907,1,7,40
930,1869,1911,1,26,33
931,1870,1912,2,22,48
932,1871,1913,2,19,21
933,1871,1914,2,7,47
934,1871,1915,2,25,19
935,1871,1916,2,17,12
936,1875,1920,2,18,5
937,1876,1921,2,26,48
938,1878,1923,1,1,12
939,1879,1924,2,7,10
940,1880,1925,2,25,44
941,1882,1927,2,1,30
942,1884,1929,1,21,16
943,1886,1931,2,1,29
944,1887,1932,2,2,40
945,1889,1934,2,27,43
946,1890,1935,2,31,19
947,1891,1936,1,13,6
948,1892,1937,2,13,45
949,1893,1938,1,7,48
950,1896,1941,1,14,33
951,1899,1944,2,5,13
952,1900,1945,2,27,43
953,1902,1947,1,5,15
954,1903,1948,1,30,40
955,1903,1950,1,13,31
956,1907,1954,1,28,20
957,1911,1958,2,24,50
958,1912,1959,1,1,49
959,1913,1960,1,8,38
960,1914,1961,2,31,45
961,1915,1962,1,13,47
962,1918,1965,2,31,19
963,1921,1968,1,13,35
964,1924,1971,1,7,49
965,1925,1972,1,31,46
966,1925,1974,1,7,35
967,1929,1979,2,13,7
968,1931,1981,1,10,40
969,1932,1982,2,20,23
970,1937,1987,1,9,36
971,1940,1990,2,20,44
972,1941,1991,1,10,22
973,1942,1992,1,19,19
974,1943,1993,2,26,1
975,1944,1994,1,15,19
976,1945,1995,2,13,18
977,1946,1996,1,1,47
978,1947,1997,1,3,12
979,1949,1999,1,29,32
980,1950,2000,2,31,37
981,1951,2001,1,15,9
982,1952,2002,1,7,6
983,1954,2004,2,27,29
984,1957,2007,2,5,11
985,1958,2008,1,19,47
986,1961,2011,2,30,11
987,1962,2012,2,19,25
988,1963,2013,2,5,19
989,1964,2014,1,24,48
990,1965,2015,2,28,49
991,1967,2017,2,4,21
992,1968,2018,2,24,15
993,1970,2020,1,8,12
994,1976,2026,1,10,6
995,1977,2027,1,21,50
996,1979,2029,1,13,49
997,1984,2034,2,19,6
998,1986,2036,2,14,40
999,1987,2037,1,6,17
1000,1988,2038,2,19,36
1001,1990,2040,1,22,5
1002,1991,2041,2,19,14
1003,1993,2043,1,23,14
1004,1995,2045,1,13,31
1005,1997,2047,2,21,35
1006,1999,2049,1,24,46
1007,2000,2050,2,25,26
1008,2003,2053,1,10,12
1009,2006,2056,1,5,20
1010,2007,2057,1,6,49
1011,2010,2060,1,6,8
1012,2014,2064,1,1,27
1013,2015,2065,1,10,47
1014,2016,2066,2,13,23
1015,2017,2067,2,27,49
1016,2018,2068,2,27,31
1017,2019,2069,1,24,30
1018,2021,2071,1,23,21
1019,2022,2072,2,21,48
1020,2024,2074,1,10,1
1021,2025,2075,1,4,46
1022,2026,2076,1,7,17
1023,2029,2079,1,29,19
1024,2031,2081,1,8,38
1025,2032,2082,2,23,34
1026,2033,2083,2,13,12
1027,2034,2084,2,7,2
1028,2036,2086,2,20,8
1029,2038,2088,1,28,32
1030,2041,2091,2,5,27
1031,2042,2092,2,13,7
1032,2043,2093,1,18,20
1033,2045,2095,1,4,3
1034,2046,2096,1,25,14
1035,2048,2098,1,24,27
1036,2049,2099,2,1,5
1037,2050,2100,2,5,8
1038,2052,2102,2,7,37
1039,2053,2103,2,21,9
1040,2054,2104,1,12,6
1041,2055,2105,2,6,48
1042,2056,2106,2,8,48
1043,2059,2109,1,24,33
1044,2061,2111,2,5,16
1045,2069,2119,2,19,22
1046,2070,2120,2,27,16
1047,2071,2121,2,2,41
1048,2073,2123,2,30,41
1049,2074,2124,1,28,14
1050,2077,2127,2,13,21
1051,2078,2128,1,3,17
1052,2080,2130,1,16,20
1053,2082,2132,1,14,1
1054,2084,2134,1,25,38
1055,2086,2136,2,29,12
1056,2087,2137,1,26,19
